CNPJ_base,Razão Social
497373,SKY SERVICOS DE BANDA LARGA LTDA.
835002,FRIGORSUL TRANSPORTES E DISTRIBUIDORA DE ALIMENTOS EIRELI
1627119,IPC DO NORDESTE LTDA
1838723,BRF S.A.
2036483,CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA
2313600,SEMP TOSHIBA BAHIA S.A.
2402478,UNIGEL PLASTICOS S/A
2456955,NATULAB LABORATORIO S.A
2558157,TELEFONICA BRASIL S.A.
2748342,INDUSTRIA BAIANA DE COLCHOES E ESPUMAS LTDA
2773629,XEROX COMERCIO E INDUSTRIA LTDA
2914460,SEARA ALIMENTOS LTDA
5300331,DAIRY PARTNERS AMERICAS BRASIL LTDA.
5423963,OI MOVEL S.A. - EM RECUPERACAO JUDICIAL
7080388,OLEOQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA
7196033,NORSA REFRIGERANTES S.A
7206816,M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENTOS
7332190,VICUNHA TEXTIL S/A.
7358761,GERDAU ACOS LONGOS S.A.
7526557,AMBEV S.A.
8334818,NESTLE NORDESTE ALIMENTOS E BEBIDAS LTDA.
10656452,VOTORANTIM CIMENTOS N/NE S/A
10919934,CCB - CIMPOR CIMENTOS DO BRASIL S.A.
11122071,SNS AUTOMOVEIS LTDA  - EM RECUPERAÇÃO JUDICIAL
12478213,APPA COMERCIAL EIRELI
13481309,RN COMERCIO VAREJISTA S.A
13788120,ELEKEIROZ S/A
14807945,SANSUY S/A INDUSTRIA DE PLASTICOS EM RECUPERACAO JUDICIAL
15139629,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA
15141799,CIA DE FERRO LIGAS DA BAHIA FERBASA
15144306,VALE MANGANES S.A
15890809,AUTO VIACAO CAMURUJIPE LTDA
16345282,VIACAO CENTRAL BAHIA DE TRANSPORTES LTDA
16404287,SUZANO S.A.
17469701,ARCELORMITTAL BRASIL S.A.
23643315,DANONE LTDA
24380578,WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA.
27515154,PROQUIGEL QUIMICA S/A
33000118,TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL
33000167,PETROLEO BRASILEIRO S A PETROBRAS
33009911,SOUZA CRUZ LTDA
33014556,LOJAS AMERICANAS S.A.
33041260,VIA VAREJO S/A
33200056,LOJAS RIACHUELO SA
33337122,IPIRANGA PRODUTOS DE PETROLEO S.A.
33541368,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO
34274233,PETROBRAS DISTRIBUIDORA SA
39346861,CENCOSUD BRASIL COMERCIAL LTDA
40432544,CLARO S.A.
40551996,VERACEL CELULOSE S.A.
42150391,BRASKEM S.A
43214055,MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO S/A
43461789,QUIMICA AMPARO LTDA
45242914,C&A MODAS S.A.
45990181,ROBERT BOSCH LIMITADA
46395687,BAHIANA DISTRIBUIDORA DE GAS LTDA
47427653,MAKRO ATACADISTA S.A
47508411,COMPANHIA BRASILEIRA DE DISTRIBUICAO
47960950,MAGAZINE LUIZA S/A
48539407,BASF SA
48875298,TRANSPORTADORA GATO PRETO LTDA
49732175,ESTOK COMERCIO E REPRESENTACOES S.A.
54428040,SEMP INFORMATICA LTDA
54516661,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.
56991441,AVON COSMETICOS LTDA.
57497539,BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA.
59179838,PIRELLI PNEUS LTDA.
60409075,NESTLE BRASIL LTDA.
60435351,DOW BRASIL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA
60829264,VIACAO NOVO HORIZONTE LTDA
60886413,LIQUIGAS DISTRIBUIDORA S.A.
61068276,UNILEVER BRASIL LTDA.
61189288,MARISA LOJAS S.A.
66970229,NEXTEL TELECOMUNICACOES LTDA.
67302943,MADEPAR LAMINADOS S/A
74127010,ATLANTIC NICKEL MINERACAO LTDA
84046101,BUNGE ALIMENTOS S/A
92265552,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
92754738,LOJAS RENNER S.A.
97422620,BOMPRECO BAHIA SUPERMERCADOS LTDA
